t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,beta,delta_cmd,delta_actual,phase
0.0830,-0.809272,-1.684241,1.603163,-14.0325,-30.4807,59.4639,-0.787676,0.881048,3.381604,1
0.0840,-0.824530,-1.715135,1.666469,-15.2578,-30.8938,63.3055,-0.792879,0.898998,3.480490,1
0.0850,-0.841211,-1.746841,1.733650,-16.6811,-31.7054,67.1807,-0.797616,0.916683,3.584538,1
0.0860,-0.859482,-1.779804,1.804734,-18.2713,-32.9638,71.0842,-0.802203,0.934102,3.694282,1
0.0870,-0.879471,-1.814513,1.879769,-19.9890,-34.7086,75.0350,-0.806982,0.951255,3.810334,1
0.0880,-0.901258,-1.851485,1.958849,-21.7872,-36.9722,79.0799,-0.812303,0.968142,3.933414,1
0.0890,-0.924870,-1.891268,2.042146,-23.6118,-39.7830,83.2969,-0.818519,0.984763,4.064382,1
0.0900,-0.950268,-1.934439,2.129942,-25.3983,-43.1711,87.7964,-0.825972,1.001118,4.204282,1
0.0910,-0.977336,-1.981614,2.222667,-27.0671,-47.1750,92.7251,-0.834992,1.017207,4.354403,1
0.0920,-1.005847,-2.033464,2.320939,-28.5117,-51.8493,98.2715,-0.845899,1.033030,4.516351,1
0.0930,-1.035427,-2.090737,2.425614,-29.5800,-57.2730,104.6749,-0.859005,1.048587,4.692148,1
0.0940,-1.065468,-2.154294,2.537854,-30.0406,-63.5577,112.2400,-0.874618,1.063879,4.884353,1
0.0950,-1.094992,-2.225147,2.659206,-29.5243,-70.8526,121.3519,-0.893051,1.078904,5.096175,1
0.0960,-1.122419,-2.304486,2.791689,-27.4267,-79.3388,132.4827,-0.914620,1.093664,5.331511,1
0.0970,-1.145185,-2.393673,2.937838,-22.7663,-89.1868,146.1487,-0.939625,1.108157,5.594635,1
0.0980,-1.159259,-2.494086,3.100549,-14.0733,-100.4129,162.7109,-0.968277,1.122385,5.888915,1
0.0990,-1.158953,-2.606592,-3.000862,0.3056,-112.5049,181.7748,-2.714120,1.136347,6.213687,1
0.1000,-1.138221,-2.730370,-2.799868,20.7321,-123.7778,200.9932,-2.749324,1.150042,6.560409,1
0.1010,-1.093785,-2.861686,-2.584462,44.4361,-131.3158,215.4051,-2.786080,1.163472,6.914556,1
0.1020,-1.026505,-2.995172,-2.363801,67.2798,-133.4852,220.6606,-2.822980,1.176636,7.264976,1
0.1030,-0.938848,-3.127945,-2.146154,87.6572,-132.7738,217.6464,-2.860184,1.189534,7.608362,1
0.1040,-0.832085,3.021632,-1.936377,106.7622,-133.6084,209.7768,1.669448,1.202166,7.946170,1
0.1050,-0.704918,2.881831,-1.738370,127.1670,-139.8005,198.0073,1.621776,1.214532,8.280588,1
0.1060,-0.554587,2.726231,-1.559552,150.3313,-155.5945,178.8213,1.557381,1.226632,8.607109,1
0.1070,-0.402609,2.540249,-1.419013,151.9779,-185.9631,140.5479,1.460451,1.238466,8.881218,1
0.1080,-0.307487,2.336250,-1.348903,95.1225,-203.9311,70.1470,1.331209,1.250034,9.056930,1
0.1090,-0.246718,2.195762,-1.313679,60.7684,-140.3877,35.2770,1.238641,1.261337,9.187575,1
0.1100,-0.200844,2.102743,-1.276053,45.8740,-92.9630,37.6376,1.181253,1.272373,9.301067,1
0.1110,-0.160893,2.035203,-1.230101,39.9508,-67.5285,45.9295,1.144665,1.283143,9.409748,1
0.1120,-0.122788,1.980627,-1.175995,38.1050,-54.5802,54.0780,1.119731,1.293648,9.519531,1
0.1130,-0.084718,1.932244,-1.114595,38.0704,-48.3900,61.3786,1.101288,1.303886,9.633246,1
0.1140,-0.045918,1.886620,-1.046505,38.8001,-45.6270,68.0789,1.086677,1.313859,9.752161,1
0.1150,-0.006060,1.842199,-0.972011,39.8580,-44.4225,74.4882,1.074687,1.323566,9.876796,1
0.1160,0.035038,1.798352,-0.891222,41.0983,-43.8465,80.7863,1.064832,1.333007,10.007362,1
0.1170,0.077521,1.754812,-0.804196,42.4823,-43.5395,87.0243,1.056901,1.342181,10.143995,1
0.1180,0.121504,1.711362,-0.711014,43.9835,-43.4499,93.1823,1.050714,1.351090,10.286890,1
0.1190,0.167054,1.667698,-0.611782,45.5495,-43.6636,99.2308,1.046022,1.359733,10.436376,1
0.1200,0.214148,1.623387,-0.506608,47.0944,-44.3107,105.1742,1.042479,1.368110,10.592979,1
0.1210,0.262647,1.577856,-0.395536,48.4995,-45.5311,111.0717,1.039658,1.376221,10.757504,1
0.1220,0.312256,1.530377,-0.278489,49.6089,-47.4786,117.0460,1.037050,1.384066,10.931148,1
0.1230,0.362467,1.480026,-0.155196,50.2110,-50.3505,123.2929,1.034056,1.391646,11.115694,1
0.1240,0.412461,1.425586,-0.025091,49.9935,-54.4402,130.1045,1.029947,1.398959,11.313843,1
0.1250,0.460909,1.365360,0.112832,48.4485,-60.2257,137.9225,1.023761,1.406006,11.529827,1
0.1260,0.505572,1.296825,0.260281,44.6620,-68.5347,147.4482,1.014131,1.412787,11.770578,1
0.1270,0.542383,1.215938,0.420145,36.8114,-80.8863,159.8634,0.998904,1.419303,12.048063,1
0.1280,0.563334,1.115698,0.597391,20.9513,-100.2393,177.2447,0.974342,1.425552,12.383486,1
0.1290,0.552811,0.983228,0.800343,-10.5229,-132.4691,202.9524,0.933350,1.431536,12.806261,1
0.1300,0.501044,0.797697,1.037588,-51.7674,-185.5294,237.2462,0.863122,1.437254,13.272352,1
0.1310,0.444032,0.568438,1.274420,-57.0118,-229.2694,236.8002,0.760979,1.442705,13.621903,1
0.1320,0.397744,0.373922,1.429455,-46.2877,-194.5520,154.9221,0.661795,1.447891,13.865872,1
0.1330,0.362633,0.216669,1.516171,-35.1115,-157.2526,86.6330,0.571079,1.452811,14.047976,1
0.1340,0.336637,0.081251,1.562856,-25.9959,-135.3738,46.6680,0.485325,1.457465,14.195297,1
0.1350,0.318307,-0.042066,1.586860,-18.3296,-123.2635,24.0171,0.402186,1.461853,14.321486,1
0.1360,0.307120,-0.158036,1.597079,-11.1873,-115.9245,10.2391,0.320632,1.465975,14.433135,1
0.1370,0.302984,-0.268575,1.598189,-4.1357,-110.5068,1.1262,0.240542,1.469831,14.533895,1
0.1380,0.305817,-0.374359,1.593165,2.8321,-105.7615,-5.0108,0.162238,1.473421,14.626455,1
0.1390,0.315384,-0.475750,1.584334,9.5675,-101.3751,-8.8222,0.086091,1.476745,14.713219,1
0.1400,0.331339,-0.573202,1.573646,15.9551,-97.4410,-10.6809,0.012302,1.479803,14.796431,1
0.1410,0.353313,-0.667352,1.562708,21.9734,-94.1421,-10.9333,-0.059154,1.482596,14.878134,1
0.1420,0.380995,-0.758982,1.552781,27.6829,-91.6245,-9.9238,-0.128502,1.485122,14.960154,1
0.1430,0.414195,-0.848973,1.544810,33.2000,-89.9864,-7.9682,-0.196123,1.487383,15.044122,1
0.1440,0.452877,-0.938284,1.539467,38.6818,-89.3084,-5.3407,-0.262534,1.489377,15.131537,1
0.1450,0.497207,-1.027978,1.537188,44.3300,-89.6912,-2.2776,-0.328387,1.491106,15.223841,1
0.1460,0.547623,-1.119276,1.538195,50.4162,-91.2963,1.0080,-0.394511,1.492568,15.322546,1
0.1470,0.604964,-1.213675,1.542500,57.3402,-94.3978,4.3062,-0.461991,1.493765,15.429404,1
0.1480,0.670718,-1.313147,1.549887,65.7545,-99.4710,7.3869,-0.532320,1.494696,15.546743,1
0.1490,0.747561,-1.420515,1.559857,76.8431,-107.3673,9.9712,-0.607686,1.495361,15.678150,1
0.1500,0.840555,-1.540209,1.571570,92.9938,-119.6935,11.7132,-0.691542,1.495760,15.830154,1
0.1510,0.959780,-1.679886,1.583898,119.2250,-139.6768,12.3280,-0.789763,1.495893,16.016841,2
0.1520,1.118294,-1.853516,1.596955,158.5138,-173.6300,13.0565,-0.912478,1.495893,16.267981,2
0.1530,1.254866,-2.073686,1.627924,136.5726,-220.1702,30.9641,-1.064156,1.495893,16.560322,2
0.1540,1.354626,-2.234207,1.759744,99.7598,-160.5119,131.7811,-1.144948,1.495893,16.855265,2
0.1550,1.441230,-2.332856,1.956039,86.6043,-98.6040,196.2461,-1.163157,1.495893,17.164398,2
0.1560,1.522512,-2.416877,2.181151,81.2812,-83.9399,225.0856,-1.162869,1.495893,17.500820,2
0.1570,1.598096,-2.505872,2.428577,75.5844,-88.9142,247.4076,-1.160113,1.495893,17.876841,2
0.1580,1.661359,-2.609037,2.701433,63.2626,-103.1058,272.8327,-1.160727,1.495893,18.303188,2
0.1590,1.699049,-2.730960,3.005857,37.6906,-121.8845,304.3943,-1.166373,1.495893,18.780361,2
0.1600,1.695943,-2.870361,-2.939556,-3.1065,-139.3816,337.7379,-2.889233,1.495893,19.276957,2
0.1610,1.651884,-3.011783,-2.584381,-44.0587,-141.4159,355.1427,-2.895219,1.495893,19.739393,2
0.1620,1.582377,-3.128532,-2.238695,-69.5065,-116.7521,345.6644,-2.885849,1.495893,20.147469,2
0.1630,1.501873,3.078119,-1.907153,-80.5043,-76.5377,331.5313,1.718499,1.495893,20.506702,2
0.1640,1.420151,3.047675,-1.578364,-81.7221,-30.4449,328.7851,1.786028,1.495893,20.826034,2
0.1650,1.343988,3.067247,-1.239460,-76.1634,19.5722,338.9036,1.892691,1.495893,21.113550,2
0.1660,1.278535,3.138996,-0.880195,-65.4527,71.7489,359.2650,2.042853,1.495893,21.377703,2
0.1670,1.228555,-3.022528,-0.494381,-49.9796,121.6617,385.8148,-2.333033,1.495893,21.629325,2
0.1680,1.200302,-2.861103,-0.081334,-28.2537,161.4242,413.0457,-2.102984,1.495893,21.883935,2
0.1690,1.204162,-2.681911,0.352468,3.8604,179.1912,433.8007,-1.854353,1.495893,22.163817,2
