t,phi,alpha,theta,phi_dot,alpha_dot,theta_dot,tau
0.5417,0.065366,0.882404,1.289125,-0.8196,5.7555,8.1164,0.0000
0.5458,0.061561,0.906628,1.255404,-0.9674,5.8523,8.0747,0.0000
0.5500,0.057160,0.931295,1.221876,-1.1077,5.9646,8.0258,0.0000
0.5542,0.052191,0.956467,1.188567,-1.2413,6.0909,7.9703,0.0000
0.5583,0.046682,0.982198,1.155503,-1.3688,6.2300,7.9088,0.0000
0.5625,0.040655,1.008540,1.122710,-1.4913,6.3808,7.8418,0.0000
0.5667,0.034130,1.035537,1.090208,-1.6093,6.5422,7.7696,0.0000
0.5708,0.027122,1.063232,1.058019,-1.7237,6.7132,7.6925,0.0000
0.5750,0.019645,1.091663,1.026164,-1.8353,6.8931,7.6107,0.0000
0.5792,0.011708,1.120865,0.994661,-1.9447,7.0812,7.5242,0.0000
0.5833,0.003320,1.150872,0.963529,-2.0528,7.2771,7.4332,0.0000
0.5875,-0.005516,1.181714,0.932788,-2.1600,7.4803,7.3375,0.0000
0.5917,-0.014799,1.213421,0.902457,-2.2671,7.6907,7.2371,0.0000
0.5958,-0.024529,1.246023,0.872557,-2.3748,7.9080,7.1318,0.0000
0.6000,-0.034711,1.279550,0.843109,-2.4835,8.1325,7.0213,0.0000
0.6042,-0.045349,1.314030,0.814135,-2.5939,8.3642,6.9053,0.0000
0.6083,-0.056453,1.349495,0.785659,-2.7065,8.6035,6.7834,0.0000
0.6125,-0.068034,1.385980,0.757707,-2.8219,8.8510,6.6550,0.0000
0.6167,-0.080104,1.423516,0.730307,-2.9407,9.1071,6.5195,0.0000
0.6208,-0.092678,1.462146,0.703492,-3.0633,9.3726,6.3762,0.0000
0.6250,-0.105775,1.501908,0.677295,-3.1903,9.6485,6.2242,0.0000
0.6292,-0.119414,1.542846,0.651756,-3.3223,9.9358,6.0625,0.0000
0.6333,-0.133618,1.556577,0.626917,-3.4598,10.2357,5.8898,0.0000
0.6375,-0.148409,1.513121,0.602829,-3.6032,10.5495,5.7046,0.0000
0.6417,-0.163815,1.468316,0.579548,-3.7530,10.8787,5.5053,0.0000
0.6458,-0.179861,1.422099,0.557138,-3.9093,11.2247,5.2896,0.0000
0.6500,-0.196577,1.374393,0.535673,-4.0724,11.5888,5.0551,0.0000
0.6542,-0.213989,1.325121,0.515239,-4.2416,11.9722,4.7988,0.0000
0.6583,-0.232119,1.274200,0.495937,-4.4158,12.3752,4.5171,0.0000
0.6625,-0.250983,1.221553,0.477882,-4.5924,12.7964,4.2055,0.0000
0.6667,-0.270577,1.167113,0.461213,-4.7661,13.2313,3.8588,0.0000
0.6708,-0.290866,1.110848,0.446091,-4.9269,13.6692,3.4709,0.0000
0.6750,-0.311750,1.052802,0.432708,-5.0561,14.0870,3.0350,0.0000
0.6792,-0.333012,0.993172,0.421280,-5.1178,14.4365,2.5445,3.0000
0.6833,-0.355801,0.938541,0.389457,-5.6119,12.2571,10.6423,3.0000
0.6875,-0.378985,0.893006,0.329208,-5.4628,10.0816,16.6466,3.0000
0.6917,-0.399774,0.856805,0.249274,-4.6095,7.7758,20.5719,3.0000
0.6958,-0.414795,0.831415,0.157885,-2.8823,4.9656,22.6127,3.0000
0.7000,-0.420242,0.819633,0.062093,-0.2613,1.4386,23.1045,3.0000
0.7042,-0.413367,0.823524,-0.032705,2.8123,-2.3572,22.4683,3.0000
0.7083,-0.394208,0.841882,-0.123030,5.5955,-5.5205,21.1801,3.0000
0.7125,-0.365386,0.870454,-0.207512,7.6034,-7.5110,19.7580,3.0000
0.7167,-0.330369,0.904336,-0.286790,8.7918,-8.3832,18.6477,3.0000
0.7208,-0.292142,0.939630,-0.362893,9.3385,-8.4410,18.1098,3.0000
0.7250,-0.252837,0.973701,-0.438452,9.4473,-7.9657,18.2253,3.0000
0.7292,-0.213840,1.004845,-0.516130,9.2806,-7.1448,18.9641,3.0000
0.7333,-0.175980,1.031922,-0.598321,8.9555,-6.0850,20.2465,3.0000
0.7375,-0.139690,1.054090,-0.687054,8.5564,-4.8392,21.9812,0.0000
0.7417,-0.102401,1.072596,-0.769675,9.1671,-4.2107,18.5783,0.0000
0.7458,-0.063124,1.088434,-0.839908,9.5656,-3.5543,15.8608,0.0000
0.7500,-0.022665,1.101366,-0.900408,9.7829,-2.8296,13.7506,0.0000
0.7542,0.018305,1.111080,-0.953525,9.8517,-2.0274,12.1796,0.0000
0.7583,0.059244,1.117261,-1.001346,9.8001,-1.1529,11.0856,0.0000
0.7625,0.099705,1.119636,-1.045709,9.6492,-0.2166,10.4117,0.0000
0.7667,0.139314,1.117977,-1.088228,9.4135,0.7697,10.1058,0.0000
0.7708,0.177745,1.112105,-1.130313,9.1024,1.7950,10.1205,0.0000
0.7750,0.214698,1.101883,-1.173186,8.7215,2.8498,10.4126,0.0000
0.7792,0.249891,1.087206,-1.217901,8.2741,3.9271,10.9426,0.0000
0.7833,0.283052,1.067995,-1.265353,7.7620,5.0219,11.6742,0.0000
0.7875,0.313914,1.044183,-1.316297,7.1863,6.1324,12.5737,0.0000
0.7917,0.342214,1.015702,-1.371350,6.5480,7.2596,13.6101,0.0000
0.7958,0.367693,0.982472,-1.431009,5.8475,8.4078,14.7546,0.0000
0.8000,0.390093,0.944386,-1.495654,5.0849,9.5848,15.9811,0.0000
0.8042,0.409150,0.901295,-1.565564,4.2587,10.8025,17.2665,0.0000
0.8083,0.424590,0.852987,-1.500643,3.3646,12.0778,18.5913,0.0000
0.8125,0.436109,0.799162,-1.419674,2.3940,13.4346,19.9406,0.0000
0.8167,0.443350,0.739394,-1.333039,1.3306,14.9078,21.3051,0.0000
0.8208,0.445853,0.673066,-1.240682,0.1452,16.5508,22.6830,0.0000
0.8250,0.442987,0.599259,-1.142525,-1.2140,18.4507,24.0831,0.0000
